希望n 希望v
会晤v 会晤vn
合作v 合作vn
与c 与p
埃雷迪亚ns 埃雷迪亚wj
花城n 花城nz
家家n 家家dc
花草n 花草dc
花n 花v
护墙n 护墙vn
巴西木n 巴西木vn
景致n 景致jb
美a 美jb
朝jb 朝p
舒尔茨nr 舒尔茨u
和平a 和平n
恢复vn 恢复v
和平a 和平n
停滞vi 停滞vn
来vi 来f
来vi 来f
和平n 和平a
泰币n 泰币wyz
破a 破v
韩jb 韩nrf
延期vi 延期nrg
苏门达腊岛ns 苏门达腊岛t
误d 误v
乡民n 乡民d
为p 为vl
野猪n 野猪vq
圈套n 圈套vn
折vi 折v
苏门达腊虎n 苏门达腊虎d
苏门达腊岛ns 苏门达腊岛t
严格a 严格ad
保护vn 保护v
为vl 为p
在d 在p
只qe 只d
抢救v 抢救vn
武装v 武装vn
暴动vi 暴动vn
纷纷z 纷纷d
混乱an 混乱a
浮动v 浮动vn
对v 对p
１∶３．４６m １∶３．４６rr
１∶５．９m １∶５．９y
至v 至p
损失v 损失n
相当vi 相当dc
欧盟j 欧盟jn
部分m 部分n
延缓v 延缓ud
出使v 出使ud
处处q 处处d
上下班jv 上下班rr
下肢n 下肢a
有vx 有v
在p 在v
过uo 过v
许m 许v
丰乐镇ns 丰乐镇t
大嫂n 大嫂l
多少ry 多少rz
多m 多a
到v 到p
土路n 土路vi
多少ry 多少rz
多m 多a
由于p 由于c
收入vn 收入n
点v 点n
照明vi 照明n
千伏q 千伏qt
运行vn 运行vi
维护vn 维护v
金溪县ns 金溪县nz
呼救声n 呼救声vq
潭n 潭m
里f 里qd
———wp ———wt
有vx 有v
围观vi 围观vn
落水vn 落水rz
失声vi 失声m
痛哭vi 痛哭qd
纵身vi 纵身ad
得救vi 得救vq
将p 将d
会v 会vu
一m 一d
浮v 浮qd
潭水n 潭水rr
呛vi 呛v
眼冒金星la 眼冒金星i
潭边n 潭边a
援Vg 援vq
活a 活n
活a 活v
众Ag 众ud
不住d 不住iv
在v 在p
兜里s 兜里ul
晾晒v 晾晒vi
江南nz 江南ns
饲养v 饲养vn
观展v 观展a
饲养v 饲养vn
辅助v 辅助vn
繁育v 繁育vn
辅助v 辅助nrf
发情vi 发情nrg
孕期t 孕期nrf
饮食n 饮食nrg
配制v 配制wky
孕情n 孕情b
监测v 监测vn
母b 母nrf
虎n 虎nrg
分娩vi 分娩wky
幼虎n 幼虎nrf
饲养v 饲养nrg
江南nz 江南ns
江南nz 江南ns
下vq 下f
壮年t 壮年vq
由于c 由于p
母b 母nrf
虎n 虎nrg
可c 可vu
生育vn 生育v
现Tg 现d
空d 空v
闺阁n 闺阁nz
梭Ng 梭vq
真诚an 真诚a
致辞vn 致辞vi
言犹在耳iv 言犹在耳vi
我院r 我院rr
损害vn 损害v
赔偿案n 赔偿案ul
轻伤n 轻伤rz
工伤n 工伤qe
并d 并c
通过p 通过v
私了v 私了nz
频繁a 频繁ad
发生vn 发生v
健康an 健康a
损失vn 损失n
有关vn 有关p
由于p 由于c
资溪县ns 资溪县wu
西城区ns 西城区wu
生活vi 生活vn
并d 并c
又c 又d
赌博vi 赌博vn
作vl 作v
救助v 救助vn
在v 在p
东平湖ns 东平湖vn
缺水v 缺水rz
淹死v 淹死t
级qe 级qz
还给v 还给wj
养鸡v 养鸡vn
为p 为vl
承包费n 承包费vn
当vl 当p
文明a 文明n
来vq 来f
用v 用p
振臂一呼iv 振臂一呼rr
孔府n 孔府t
家酒n 家酒t
上vq 上f
上上下下ln 上上下下iv
就d 就p
项目点n 项目点ul
离p 离v
需要v 需要n
救助v 救助vn
差v 差a
开vq 开v
瓷器n 瓷器ui
给p 给v
能v 能vu
吧y 吧iv
有v 有vx
心n 心dc
多a 多m
心n 心a
勤俭a 勤俭ns
给p 给v
又d 又c
造物主n 造物主rr
为vl 为p
人母n 人母t
幸运an 幸运a
纵使c 纵使rr
缝缝补补v 缝缝补补iv
弱智b 弱智ul
辛苦vn 辛苦a
信报箱j 信报箱n
邮递员n 邮递员rr
信报箱j 信报箱n
报修v 报修rr
修修补补v 修修补补y
安全an 安全ad
以c 以p
投递vn 投递v
集中v 集中ad
部分n 部分m
信报箱j 信报箱n
邮递员n 邮递员d
分发vn 分发v
信报箱j 信报箱n
信报箱群n 信报箱群dc
规范a 规范n
统一ad 统一vn
管理v 管理vn
迎新面n 迎新面nz
高nrf 高a
扬文nrg 扬文wu
反共v 反共vn
各县r 各县f
与c 与p
论Ng 论k
束缚vn 束缚v
与c 与p
穷国n 穷国Ng
进口v 进口vn
垂询vi 垂询vl
共同d 共同b
协作vi 协作vn
勘探v 勘探vn
普查v 普查vn
年老体弱lv 年老体弱vq
腿脚n 腿脚d
有v 有vx
深入v 深入a
调查v 调查vn
研究v 研究vn
同苦共乐l 同苦共乐f
矛盾an 矛盾a
运动vi 运动n
不可vu 不可v
坐井观天iv 坐井观天vq
以偏概全lv 以偏概全iv
运动vi 运动n
见微而知著l 见微而知著iv
不可vu 不可v
合作v 合作vn
以c 以p
支持vn 支持v
库巴nr 库巴wyy
哪个ry 哪个rz
哪个ry 哪个rz
有vx 有v
必要an 必要a
有vx 有v
有vx 有v
必要an 必要a
多d 多ad
为vl 为p
哪个ry 哪个rz
辈n 辈f
没有v 没有df
必要an 必要a
没有v 没有df
因c 因p
拒Vg 拒rz
附属vn 附属v
玷污v 玷污vq
旺苍县ns 旺苍县wu
女伴n 女伴wj
到v 到p
工作n 工作vn
眉山县ns 眉山县wm
录像n 录像vi
威逼v 威逼vu
无奈a 无奈vq
纵身vi 纵身wky
阳台n 阳台m
跳楼v 跳楼qd
腰椎n 腰椎wm
爆裂性n 爆裂性wyz
脊髓n 脊髓dc
严重ad 严重a
损伤v 损伤vn
手术vn 手术vi
０．７％m ０．７％wj
２．８％m ２．８％vn
同比j 同比ud
为vl 为p
—０．４％m —０．４％ns
—０．８％m —０．８％vn
—１·２％m —１·２％vn
增长vn 增长v
减速vn 减速vi
困难an 困难a
加剧v 加剧vn
要求v 要求n
集中ad 集中a
调价vi 调价vn
如何ry 如何ryw
就业vn 就业vi
安排v 安排vn
调控v 调控vn
一分为二iv 一分为二vi
并d 并c
定购vn 定购v
市斤qd 市斤vl
平均a 平均v
粮价n 粮价rr
种粮vn 种粮v
稳定v 稳定a
影响v 影响vn
粮价n 粮价f
过d 过v
粮价n 粮价nrf
攀升v 攀升nrg
抬价vi 抬价vu
非正常b 非正常Ng
部分m 部分n
过d 过v
当vu 当p
过d 过v
逆向d 逆向ud
运作vi 运作vn
积极ad 积极a
入市v 入市ui
竞销v 竞销f
则c 则d
统一v 统一vn
粮价n 粮价rr
开放v 开放vn
种草v 种草rr
试验vn 试验v
起先d 起先p
块qc 块qe
奶牛n 奶牛t
关门vi 关门wj
肉牛n 肉牛vq
开销v 开销vi
安装vn 安装v
储罐n 储罐f
储罐n 储罐f
建成vn 建成v
投产vn 投产vi
多m 多a
领导v 领导n
过uo 过v
领导v 领导n
建设vn 建设v
同v 同p
感受v 感受vn
才c 才d
体味v 体味vx
躬Vg 躬ad
下vq 下v
和p 和c
和p 和c
领导v 领导n
江南s 江南ns
有vx 有v
由于p 由于c
有v 有vx
经过p 经过v
培训v 培训vn
护嫂n 护嫂nz
经过p 经过v
培训v 培训vn
实习v 实习y
讲话vi 讲话n
卫生an 卫生a
健康an 健康a
幸福an 幸福a
招贤v 招贤wt
招v 招n
来vq 来f
来vq 来f
大脑库n 大脑库nz
ＨＷ９０００nx ＨＷ９０００ul
航天部nt 航天部m
６１５m ６１５qd
所n 所us
合作v 合作vn
有vx 有v
芯Ng 芯qt
多a 多m
壳Ng 壳qd
又c 又d
有vx 有v
壳Ng 壳qt
多a 多m
芯Ng 芯qd
壳Ng 壳qt
多a 多m
式Ng 式qd
衍化v 衍化ul
款式n 款式nrf
精巧a 精巧nrg
煞Dg 煞v
逗人a 逗人b
喜爱v 喜爱vn
大家族n 大家族nz
超前性n 超前性vn
火炬nz 火炬n
一声声m 一声声dc
坐垫n 坐垫a
周nrf 周ud
联合vn 联合v
强调vd 强调v
同时d 同时n
总的来说c 总的来说vn
一体化vi 一体化vn
进展vi 进展vn
和c 和p
基希讷乌ns 基希讷乌ad
满v 满a
就p 就d
具体a 具体ad
解决vn 解决v
还是c 还是d
哈姆雷特式b 哈姆雷特式a
冲突vn 冲突vi
努力a 努力ad
解决vn 解决v
统一vn 统一v
收效vi 收效c
表示vn 表示v
卡洛斯nr 卡洛斯wj
有关p 有关vn
以c 以p
本d 本rz
冬装n 冬装y
呼吁v 呼吁vn
保护v 保护vn
交易n 交易vn
交易vn 交易v
八八八八八m 八八八八八nz
错n 错v
隐藏所n 隐藏所nz
交易v 交易vn
交易v 交易vn
八八八八八m 八八八八八nz
调整v 调整vn
盈利vi 盈利n
八八八八八m 八八八八八nz
丰收vn 丰收vi
秋冬种v 秋冬种t
丰收vn 丰收vi
拉动力n 拉动力d
工作vn 工作vi
位Ng 位qe
并c 并d
扎实ad 扎实a
工作vi 工作vn
统一a 统一vn
管理v 管理vn
统一a 统一vn
生产v 生产vn
建设v 建设vn
流通vi 流通vn
消费v 消费vn
有偿b 有偿d
使用vn 使用v
刘家村ns 刘家村nz
调子n 调子vq
框子n 框子vq
到v 到p
来vi 来f
检验vn 检验v
并d 并c
发展v 发展vn
改革v 改革vn
开放v 开放vn
发展v 发展vn
人治n 人治rr
立法vi 立法vn
执法vi 执法vn
实际a 实际n
甚至c 甚至d
行政v 行政n
绘图n 绘图vi
简洁a 简洁ul
解说词n 解说词vn
和p 和c
巧妙ad 巧妙a
结合vi 结合vn
形象a 形象n
兼并v 兼并vn
有vx 有v
发展v 发展vn
由于p 由于c
流动v 流动vn
为vl 为p
集中a 集中v
运作vn 运作vi
协同vn 协同v
靠p 靠v
经营v 经营vn
盈利n 盈利vn
积累vn 积累n
经营v 经营vn
金融资本ln 金融资本vn
四两拨千斤l 四两拨千斤nz
兼并v 兼并vn
生存vi 生存vn
由于p 由于c
构成vn 构成v
扩张v 扩张vn
来vq 来vi
增值vi 增值vn
活化资本n 活化资本vn
流动v 流动vn
扩张v 扩张vn
增值vi 增值vn
效益观n 效益观vn
市场观n 市场观iv
决策vn 决策n
管理v 管理vn
实践v 实践vn
科学a 科学n
实际n 实际a
以c 以p
经营v 经营vn
就是vl 就是c
之rz 之u
增值vi 增值vn
重组v 重组vn
优化v 优化vn
重组v 重组vn
既d 既c
并购v 并购vn
发展v 发展vn
壮大v 壮大vn
及时a 及时ad
劣Ag 劣rr
汰Vg 汰vi
提高vn 提高v
重组v 重组vn
追求v 追求vn
运动vi 运动n
来vq 来vi
新生b 新生vn
充分a 充分ad
利用vn 利用v
配置vn 配置v
生肖印n 生肖印rr
雅俗n 雅俗rz
繁荣v 繁荣vn
发展v 发展vn
自传体n 自传体wu
为vl 为p
近乎v 近乎z
活v 活a
使劲vi 使劲a
岑nrf 岑wu
红nrg 红a
通例n 通例vn
编纂v 编纂vn
条头n 条头nr
汉语拼音n 汉语拼音vn
编排v 编排vn
笔画n 笔画wj
汉语拼音n 汉语拼音rz
检索vn 检索v
分卷v 分卷wky
卷内s 卷内nr
汉语拼音n 汉语拼音ns
编排v 编排vn
需要n 需要v
灰市n 灰市ns
同性恋vi 同性恋ns
盲流n 盲流ns
软科学n 软科学ns
美容vi 美容vn
收藏v 收藏vn
江南s 江南ns
管理v 管理vn
负责v 负责vn
建设v 建设vn
运营vi 运营vn
合营vn 合营v
与c 与p
总经理部n 总经理部d
手册n 手册wj
手册n 手册wj
控制程序ln 控制程序nz
审计vn 审计v
手册n 手册wt
系列q 系列n
合营vn 合营v
厚厚的z 厚厚的nrf
手册n 手册nrg
原来b 原来d
与c 与p
文本n 文本dc
一样ad 一样a
权责n 权责dc
制k 制v
授权vn 授权v
本人rr 本人f
连u 连v
成功an 成功a
充分ad 充分a
肯定v 肯定vn
借贷v 借贷vn
建设v 建设vn
还v 还d
成功ad 成功a
运行vi 运行vn
大dc 大a
发展v 发展vn
创作vn 创作v
排练vn 排练v
晋Vg 晋jb
演出v 演出vn
演出v 演出vn
前线nz 前线s
演出v 演出vn
场场q 场场ad
经过v 经过p
配置vn 配置v
进步vn 进步vi
发展v 发展vn
研究vn 研究v
发展vn 发展v
为p 为vl
条块分割lv 条块分割wj
优化v 优化vn
配置v 配置vn
紧密a 紧密ad
结合vn 结合v
努力a 努力an
实践v 实践vn
生产v 生产vn
发展vn 发展v
调整v 调整vn
使得vi 使得v
分v 分n
批qj 批v
１０．６％m １０．６％vq
那c 那rz
怎么ry 怎么ryw
到v 到vq
去v 去vi
就p 就d
如何ry 如何ryw
迅猛ad 迅猛a
发展v 发展vn
深刻ad 深刻a
变革v 变革vn
改革v 改革vn
开放v 开放vn
热情ad 热情an
带路vi 带路f
表彰vn 表彰v
善Ng 善dc
善Ng 善dc
志达nz 志达m
出租汽车ln 出租汽车qe
将p 将d
呢帽n 呢帽ui
费时a 费时m
费力a 费力qd
自rr 自p
过桥费n 过桥费vn
安排v 安排vn
市直b 市直rz
经过p 经过v
带路vi 带路a
同级vi 同级vn
着uz 着vi
来vi 来v
表扬稿n 表扬稿vq
眉开眼笑i 眉开眼笑iv
来vi 来v
调查v 调查vn
核实v 核实vn
批评稿n 批评稿vq
则c 则d
冷若冰霜iv 冷若冰霜vi
甚至c 甚至d
火冒三丈ia 火冒三丈vi
焦点n 焦点nrf
访谈vn 访谈nrg
申诉v 申诉vq
精神病院n 精神病院ul
保卫科n 保卫科ul
恶言n 恶言m
恶语n 恶语qd
就p 就d
点qe 点n
合作v 合作vn
罗伯特·布莱克nr 罗伯特·布莱克ud
布莱克nr 布莱克d
成功an 成功a
竭尽全力iv 竭尽全力y
开玩笑vi 开玩笑qv
辛苦v 辛苦a
该vu 该rz
微微b 微微c
簇Ng 簇ud
散v 散ad
作vl 作v
建设v 建设vn
无限vd 无限vi
出qe 出v
气息n 气息wj
伫Vg 伫ud
如何ry 如何ryw
春耕大忙l 春耕大忙t
下乡vi 下乡vn
副高b 副高n
协同vd 协同v
平常ad 平常jn
工作vi 工作vn
如v 如c
科技兴农lv 科技兴农vn
水稻所n 水稻所rz
方nrf 方d
向nrg 向v
丹寨县ns 丹寨县d
为p 为vl
贷款n 贷款vn
可c 可vu
中西餐j 中西餐nrf
烹饪vn 烹饪nrg
财会n 财会ns
文秘n 文秘ns
美容vn 美容nrf
美发vn 美发nrg
教风n 教风c
训练vn 训练v
为vl 为p
职业高中ln 职业高中wj
示范校n 示范校vn
帮助vn 帮助v
互补vn 互补vi
共享vn 共享v
传帮带jn 传帮带vn
新建vn 新建v
新建vn 新建v
少d 少a
走弯路lv 走弯路y
发展v 发展vn
过uo 过v
常见病n 常见病vn
多发病n 多发病iv
因c 因p
因c 因p
给v 给p
还是c 还是d
医师n 医师t
到v 到p
义诊v 义诊vn
病症n 病症Ng
治疗v 治疗vn
来v 来f
诊断v 诊断vn
处方v 处方iv
将p 将d
反对vn 反对v
泛v 泛nt
遗孀n 遗孀vn
索尼亚·甘地nr 索尼亚·甘地wj
沉默an 沉默a
一d 一m
沉默a 沉默qt
自d 自p
无心vi 无心ad
政事n 政事t
当vl 当p
需要v 需要n
左右f 左右m
要v 要vu
有v 有vx
来vi 来f
翻云覆雨iv 翻云覆雨vn
纷繁a 纷繁nrf
冗杂a 冗杂nrg
平衡vn 平衡a
运筹vn 运筹vi
报道n 报道v
到v 到p
高谈阔论iv 高谈阔论vi
并d 并c
没有df 没有v
从政vi 从政ud
不悦a 不悦vq
遗孀n 遗孀vn
一颦一笑i 一颦一笑vn
来vi 来f
并非易事l 并非易事wyy
理解vn 理解v
满a 满v
饱经风霜iv 饱经风霜vq
年长者n 年长者vn
倒闭v 倒闭vn
牧师n 牧师wd
七旬m 七旬vq
住宅nz 住宅n
坎肩n 坎肩t
金b 金nrf
纽扣n 纽扣nrg
下vq 下f
以c 以p
表Vg 表n
贡献v 贡献n
匹夫n 匹夫dc
二十万m 二十万ul
严重ad 严重a
违章vd 违章vn
操作v 操作vn
平均价n 平均价d
至v 至p
规定v 规定n
参考价n 参考价dc
低v 低a
自愿v 自愿vu
以c 以p
下跌vn 下跌vi
在v 在p
圣雪绒杯nz 圣雪绒杯wyz
头m 头n
盘qe 盘qv
比赛v 比赛vn
向nrf 向p
兵nrg 兵n
作伪vn 作伪v
移动v 移动vn
跋Ng 跋wky
拼凑v 拼凑nrf
画n 画nrg
芯Ng 芯wky
化整为零iv 化整为零ns
转移v 转移vn
迹Ng 迹wky
景物n 景物vi
照排vn 照排wky
与c 与p
红外线n 红外线ns
教授n 教授nrg
齐尔品nr 齐尔品vq
与c 与p
超水平vd 超水平rr
教授n 教授nrg
差一点d 差一点ad
来v 来vi
武打n 武打dc
先声夺人iv 先声夺人Ng
武僧n 武僧ns
武夫n 武夫iv
单打独斗lv 单打独斗vi
长项n 长项iv
第一流b 第一流rr
第一流b 第一流a
影视界n 影视界wd
匮乏vi 匮乏vn
想v 想vu
来vq 来v
打破常规l 打破常规vq
咱rr 咱wyz
功夫片n 功夫片vn
武侠片n 武侠片df
涎水n 涎水vn
醉拳n 醉拳nz
向nrf 向p
兵nrg 兵n
影评n 影评ud
文化部n 文化部nt
影视局n 影视局ns
华表奖nz 华表奖ns
金鸡奖nz 金鸡奖ns
百花奖nz 百花奖a
大dc 大a
转折vi 转折vn
红河谷ns 红河谷nz
喜莲nr 喜莲nz
男婚女嫁in 男婚女嫁nz
彝海结盟l 彝海结盟nz
滑板n 滑板nz
大dc 大a
大西北s 大西北nz
大dc 大a
南f 南jb
追歼v 追歼Vg
大dc 大a
席卷v 席卷nrf
大西南f 大西南nrg
影评n 影评wyy
研讨v 研讨vn
选题n 选题dc
近a 近v
如何ry 如何ryw
表现v 表现vn
西文nr 西文nz
华韵nz 华韵wkz
生产v 生产vn
同样d 同样b
普照v 普照wj
狱警n 狱警wky
总b 总d
监制vn 监制vi
为vl 为p
主演v 主演n
春草n 春草ud
去岁t 去岁ul
繁花似锦ib 繁花似锦iv
斑斓z 斑斓dc
收获v 收获n
遗憾an 遗憾a
要言不烦i 要言不烦a
定格vi 定格nz
来vi 来f
二难b 二难ns
小人物n 小人物rz
清醒ad 清醒a
麻木a 麻木wd
混沌a 混沌vn
抗争vn 抗争vi
捍卫vn 捍卫v
发散vi 发散vn
变革v 变革vn
二难b 二难ns
抗争vn 抗争vi
写实n 写实ud
由于c 由于p
联展vn 联展nz
汇展n 汇展nz
气盛a 气盛nz
创作力n 创作力dc
现Tg 现d
个人性n 个人性ns
公共性n 公共性ns
探索性n 探索性vn
实验性n 实验性vn
又c 又d
新生代n 新生代nz
晚生代n 晚生代nz
批评vn 批评v
规范vn 规范n
引导vn 引导v
更其d 更其dc
形而下b 形而下a
发展vn 发展v
形而上l 形而上vq
商nrf 商n
泽军nrg 泽军wj
耿nrf 耿vu
立nrg 立v
创作v 创作vn
百年mq 百年Vg
晓赖nr 晓赖vn
期待vn 期待v
表现vn 表现v
各异z 各异f
浓墨重彩lv 浓墨重彩rr
多m 多a
为p 为vl
凛然z 凛然ns
抒情诗n 抒情诗ud
空前ad 空前a
营造vn 营造v
诗思n 诗思ad
深化vn 深化v
诗化vn 诗化v
地ui 地n
诗坛n 诗坛t
白鹿原ns 白鹿原nz
初版n 初版t
负责v 负责vn
客观n 客观a
白鹿原ns 白鹿原nz
倾向性n 倾向性f
体现者n 体现者wkz
鏊子n 鏊子wt
描写vn 描写v
经v 经p
联系v 联系vn
需要v 需要n
重版vi 重版ns
白鹿原ns 白鹿原nz
修订本n 修订本nz
作为vl 作为p
参评vn 参评v
百分之六十一点八m 百分之六十一点八ns
真实感n 真实感d
百分之五十一m 百分之五十一rr
欢迎vn 欢迎v
长篇小说ln 长篇小说m
篇目n 篇目qt
抉择v 抉择nz
竟会vu 竟会v
ＬＭnx ＬＭwyz
中风vi 中风vn
探视v 探视y
边n 边d
一会m 一会y
给v 给p
慰藉v 慰藉vn
温暖v 温暖an
从头到尾id 从头到尾wyy
流泻v 流泻d
字里行间in 字里行间rr
经过p 经过v
岁Ng 岁qt
迸发v 迸发dc
光辉n 光辉a
炽热a 炽热ad
澄澈z 澄澈vu
分离v 分离vi
净土n 净土f
大千世界in 大千世界nz
边n 边d
交心vi 交心iv
ＬＭnx ＬＭrr
……ws ……rr
没有v 没有df
遗憾an 遗憾a
无怨无悔lv 无怨无悔dc
对视vi 对视v
对视vi 对视vn
拉手vi 拉手vn
裂隙n 裂隙vn
过去t 过去v
散步vi 散步ul
长ad 长a
私念n 私念vq
千言万语in 千言万语f
在v 在p
此处rz 此处y
掩v 掩m
卷Ng 卷qe
遐思v 遐思n
发酸vi 发酸wyy
说明n 说明vn
夕阳西下lv 夕阳西下l
出头m 出头qd
有v 有vx
英姿勃勃lv 英姿勃勃ns
华年n 华年vn
星移物换l 星移物换iv
鬓发n 鬓发rr
不知不觉id 不知不觉t
多d 多m
来v 来vi
在v 在p
有为vi 有为ns
年n 年qt
耄耋高龄l 耄耋高龄vq
近来t 近来d
冰心nr 冰心ul
在v 在p
赋v 赋nr
得ue 得v
敏锐an 敏锐a
深刻an 深刻a
坚劲an 坚劲Ng
衰颜老态l 衰颜老态y
叫v 叫vl
比v 比p
起vq 起v
来vq 来vi
则c 则d
后生n 后生vu
何ry 何nrf
资格n 资格nrg
宁Ag 宁d
愧Vg 愧vi
煞v 煞y
回眸vi 回眸vn
滚vi 滚v
枉Vg 枉vu
呛vi 呛vx
多a 多m
待v 待p
点qb 点n
夕阳西下lv 夕阳西下vn
唏嘘vi 唏嘘iv
云Vg 云n
无限vd 无限vi
何须d 何须dc
黄昏t 黄昏y
句Ng 句wky
用v 用p
有意思la 有意思a
奉赠v 奉赠y
之rz 之u
宣战vi 宣战f
静寂a 静寂f
杳Ag 杳ad
亲v 亲nrf
德jb 德nrg
派n 派v
蠢蠢欲动iv 蠢蠢欲动vi
马奇诺ns 马奇诺m
战壕n 战壕qt
苟安vi 苟安vq
在d 在p
希特勒nr 希特勒wyz
一口气d 一口气rr
混世魔王in 混世魔王a
转年d 转年rz
长驱v 长驱vu
兵临城下iv 兵临城下vq
危殆a 危殆vn
档子q 档子qe
顽固a 顽固ad
到vq 到v
方Ng 方qd
伴儿n 伴儿vn
改善v 改善vn
没法儿v 没法儿wd
事过境迁iv 事过境迁c
可vu 可v
秋日t 秋日ad
忙碌an 忙碌a
一双双m 一双双d
残破vi 残破z
灼灼z 灼灼d
片qe 片qc
谷Ng 谷nrf
酒n 酒nrg
影响v 影响vn
发展vn 发展v
又c 又d
有vx 有v
改革v 改革vn
发展v 发展vn
稳定v 稳定a
稳定an 稳定vn
稳定v 稳定a
就是vl 就是d
工作vn 工作vi
丰收vn 丰收vi
供应vn 供应v
农产品n 农产品ui
供应vn 供应v
有vx 有v
有vx 有v
扶贫vi 扶贫vn
攻坚vi 攻坚vn
稳定a 稳定vn
持续vd 持续vn
稳定ad 稳定vn
发展v 发展vn
多a 多m
保护v 保护vn
工作vn 工作vi
麻痹a 麻痹vn
收入vn 收入n
增势n 增势d
缓a 缓vi
有vx 有v
可能n 可能vu
滑坡vn 滑坡vi
改革v 改革vn
稳定v 稳定a
认识n 认识v
出口v 出口vn
１２．１％m １２．１％vq
７％m ７％vl
预测v 预测vn
为vl 为p
发展vn 发展v
出口vn 出口v
快速b 快速d
增长vn 增长v
为vl 为p
２６．３％m ２６．３％t
低v 低a
统一a 统一vn
计划v 计划n
用v 用p
用v 用p
黄jb 黄a
上j 上f
中j 中jb
用v 用p
用v 用p
生产vn 生产v
用v 用p
通报n 通报v
要求v 要求n
深入a 深入v
尊Vg 尊Ng
干j 干v
滞Vg 滞jb
越南ns 越南jb
船民n 船民jb
越jb 越dc
清理v 清理vn
交费vi 交费vn
纸条n 纸条a
警告v 警告vn
大意n 大意d
如c 如v
举报者n 举报者ad
如c 如v
行qc 行Ng
纸条n 纸条wky
激战vn 激战vi
以jb 以p
现任b 现任v
将p 将d
在d 在p
部分m 部分n
随处可见lv 随处可见wd
阴沉a 阴沉rr
冰粒n 冰粒vn
拉赫曼nr 拉赫曼d
求助v 求助vn
失而复得iv 失而复得wj
雅苗尔科斯基nr 雅苗尔科斯基d
钢缆n 钢缆ui
用p 用v
塑料套n 塑料套ul
保护v 保护vn
一m 一d
端Ng 端v
离p 离v
层qc 层qt
端Ng 端v
钢缆n 钢缆y
计划v 计划n
扎根v 扎根nz
垂直vd 垂直v
钢缆n 钢缆y
配重n 配重vn
配重n 配重vn
铅块n 铅块wd
计划v 计划n
直a 直d
为vl 为p
现代化vi 现代化vn
升级vn 升级vi
头m 头n
发达国家ln 发达国家vu
何人ry 何人m
女板j 女板ud
有vx 有v
议论vn 议论v
如何ry 如何ryw
才c 才d
有vx 有v
因为c 因为p
有v 有vx
必要an 必要a
借助v 借助ui
评选v 评选vn
有vx 有v
作为vl 作为p
才c 才d
够格a 够格vi
实施vn 实施v
苛求v 苛求ul
全能型n 全能型a
万达队nt 万达队vq
国安队nt 国安队a
冈玻斯nr 冈玻斯f
过去t 过去v
手q 手n
各队r 各队ul
中场s 中场qe
一阵子mq 一阵子vq
更进一步i 更进一步iv
科学n 科学a
研究v 研究vn
是非曲直in 是非曲直vn
遗留v 遗留vn
虚假an 虚假a
夸张vn 夸张vi
容v 容ad
不得vi 不得v
半点mq 半点m
个人崇拜ln 个人崇拜qd
正确ad 正确a
处理v 处理vn
改革v 改革vn
发展v 发展vn
稳定v 稳定a
者rz 者qe
与c 与p
作为vl 作为p
强调vd 强调v
组织vn 组织v
论断vn 论断qd
姓vl 姓n
还是c 还是d
私Ag 私b
专有物n 专有物f
过去t 过去v
融资vi 融资vn
相互b 相互d
收购v 收购vn
重组v 重组vn
与c 与p
近a 近v
增长vn 增长v
比较vn 比较dc
系统性n 系统性vn
形成v 形成vn
变化v 变化vn
争议v 争议vn
如c 如v
腐败a 腐败an
依据v 依据p
日常生活型n 日常生活型nz
正确ad 正确a
处理v 处理vn
矛盾an 矛盾a
建设v 建设vn
无论c 无论rr
回答vn 回答v
原产地n 原产地vn
官宦n 官宦vn
大放异彩i 大放异彩vn
祖祖辈辈i 祖祖辈辈d
精心a 精心ad
栽培vn 栽培v
开vq 开v
一枚枚m 一枚枚d
出众an 出众a
出色an 出色a
在v 在p
天造地设in 天造地设vn
在v 在p
像vl 像d
掀腾v 掀腾wyy
蓝幽幽z 蓝幽幽a
熹微a 熹微vq
掩映vi 掩映v
撤退v 撤退vi
清爽爽z 清爽爽a
鸣啭v 鸣啭vi
珠江ns 珠江nz
大爷n 大爷nrg
喃语n 喃语m
轻轻d 轻轻qd
步qv 步n
遥Ag 遥a
呀y 呀wm
喜Ng 喜v
好奇an 好奇a
驱使vn 驱使ui
忙ad 忙v
过去vq 过去v
身子n 身子dc
真真d 真真ad
可贺a 可贺y
大爷n 大爷nrg
又c 又d
喜Ng 喜v
区区z 区区ul
有vx 有v
骄傲a 骄傲an
大爷n 大爷nrg
眼前t 眼前s
分qj 分qt
熟稔a 熟稔f
大哥大n 大哥大nz
怎样ry 怎样ryw
哑巴吃饺子l 哑巴吃饺子iv
心里有数l 心里有数iv
回v 回vq
来vi 来v
当vl 当p
来得vi 来得ud
有v 有vx
高见n 高见vn
老童nr 老童l
拐v 拐qt
想不到lv 想不到p
老童nr 老童vq
有理有据lv 有理有据f
要c 要vu
想vu 想v
规模d 规模n
生产v 生产vn
怎样ry 怎样ryw
渗透法n 渗透法wj
珠江nz 珠江ns
马虎an 马虎a
大意n 大意ln
怎么ry 怎么ryw
方才t 方才ul
疑惑v 疑惑vn
居功至伟l 居功至伟a
专家局n 专家局wd
观礼vi 观礼t
友谊n 友谊nz
友谊n 友谊nz
到v 到vq
贫困an 贫困a
找出路lv 找出路wj
法子n 法子d
在v 在p
